"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.107091510E0,7.747888565E-3,-3.250324726E-2,2.197265625E-3
2.117111250E0,7.538974285E-3,-3.396904469E-2,1.131534576E-2
2.127130937E0,2.503335476E-3,-9.168863297E-3,-8.707046509E-4
2.137133125E0,9.330093861E-3,-3.359675407E-3,-3.403663635E-3
2.147152864E0,1.993596554E-3,-6.899237633E-3,-5.867004395E-3
2.157172604E0,-9.781241417E-3,-3.571271896E-3,1.052093506E-2
2.167193802E0,-7.310688496E-3,3.003597260E-2,1.482582092E-2
2.177213594E0,-7.242262363E-3,2.050304413E-2,7.262229919E-3
2.187233281E0,-1.178044081E-2,2.008211613E-2,9.189605713E-3
2.197233750E0,-6.774485111E-3,1.010119915E-2,-1.011848450E-2
2.207253437E0,-2.064108849E-2,7.605671883E-3,-2.671432495E-2
2.217273177E0,-1.061099768E-2,9.953618050E-3,-7.699966431E-3
2.227287239E0,-1.950514317E-2,6.334781647E-4,-7.514953613E-4
2.237306979E0,-1.896280050E-2,3.200531006E-3,-1.982784271E-2
2.247326666E0,-1.863569021E-2,5.415439606E-3,6.094932556E-3
2.257351146E0,-1.147031784E-2,-6.733417511E-3,2.212905884E-2
2.267370937E0,7.321417332E-3,1.430511475E-5,1.198005676E-2
2.277390625E0,2.384507656E-2,-1.241099834E-2,-9.772300720E-3
2.287444114E0,1.450067759E-2,-2.673172951E-2,-1.698493958E-2
2.297463854E0,2.189999819E-2,-3.108131886E-2,-9.904861450E-3
2.307483541E0,8.045196533E-3,-1.601159573E-2,-3.583621979E-2
2.317468125E0,-3.271758556E-3,-1.997256279E-2,-2.130699158E-2
2.327487864E0,-1.917093992E-2,3.507494926E-3,-2.423286438E-3
2.337507552E0,-1.135885715E-2,-2.372372150E-2,5.605506897E-2
2.347524114E0,5.674958229E-4,-2.041029930E-2,6.873512268E-2
2.357543906E0,1.910007000E-2,-9.936451912E-3,2.705764771E-2
2.367563594E0,1.832193136E-2,1.864910126E-3,-3.964710236E-2
2.377615625E0,-3.523588181E-3,1.025044918E-2,-7.209110260E-2
2.387635364E0,-3.551006317E-3,7.188796997E-3,-4.035472870E-2
2.397655104E0,-1.178383827E-3,1.026463509E-2,2.134323120E-2
2.407664323E0,-1.084089279E-3,-2.390146255E-4,7.474327087E-2
2.417684062E0,-7.808804512E-3,3.199696541E-3,2.128410339E-2
2.427703750E0,3.148078918E-3,1.010656357E-3,-8.282756805E-2
2.437717864E0,4.646360874E-3,3.168857098E-2,-9.546184540E-2
2.447737604E0,3.321248293E-2,2.404499054E-2,2.674102783E-3
2.457757291E0,4.300510883E-2,7.667779922E-3,1.153202057E-1
2.467788177E0,5.108964443E-2,-2.784490585E-2,8.466434479E-2
2.477807916E0,2.648037672E-2,-1.073062420E-2,-6.313896179E-2
2.487827604E0,-2.653950453E-2,-1.438426971E-2,-1.235256195E-1
2.497831458E0,-4.452359676E-2,-2.211976051E-2,-1.356763840E-1
2.507851198E0,-1.960319281E-2,-1.850712299E-2,-8.646392822E-2
2.517870937E0,3.994703293E-4,-2.366733551E-2,2.530956268E-2
2.527911823E0,1.314789057E-2,-2.760219574E-2,8.564567566E-2
2.537931562E0,1.134353876E-2,-1.764357090E-2,1.001977921E-1
2.547951250E0,-5.005896091E-3,1.167261600E-2,8.395576477E-2
2.557933073E0,-1.669585705E-2,1.068615913E-2,6.099605560E-2
2.567952812E0,-2.144992352E-2,3.418207169E-2,5.969715118E-2
2.577972500E0,-2.131289244E-2,4.644358158E-2,1.144981384E-2
2.588000364E0,-2.357220650E-2,5.194664001E-2,-1.945495605E-2
2.598019948E0,-1.832389832E-2,4.799640179E-2,-2.862358093E-2
2.608039531E0,-1.071763039E-2,3.904891014E-2,-6.357288361E-2
2.618052708E0,-5.610644817E-3,-3.575682640E-3,-5.095481873E-2
2.628072291E0,1.558196545E-2,-1.821982861E-2,-5.721092224E-3
2.638091875E0,9.934902191E-3,-3.827381134E-2,-1.318264008E-2
2.648133854E0,6.512045860E-3,-5.336534977E-2,-3.937625885E-2
2.658153437E0,-3.908753395E-3,-3.047931194E-2,-3.687286377E-2
2.668173073E0,-2.600687742E-2,-4.335391521E-2,-6.171226501E-3
2.678196250E0,-1.938241720E-2,-5.617034435E-2,5.175590515E-3
2.688215833E0,-2.439951897E-2,-5.018579960E-2,-1.592636108E-4
2.698235416E0,-1.005780697E-2,-2.832412720E-2,-7.238388062E-4
2.708247187E0,-1.211404800E-2,-3.267550468E-2,-3.605842590E-3
2.718266771E0,-4.484057426E-3,-1.790440083E-2,-1.581478119E-2
2.728286354E0,2.409255505E-2,-5.469202995E-3,-1.602458954E-2
2.738297604E0,9.505867958E-3,-1.217532158E-2,2.573966980E-3
2.748317187E0,-6.020069122E-5,9.210109711E-3,1.613044739E-2
2.758336823E0,4.343390465E-3,7.060289383E-3,8.295059204E-3
2.768374479E0,-1.100480556E-3,3.600633144E-2,-2.527809143E-2
2.778394062E0,-1.805770397E-2,5.300855637E-2,2.886486053E-2
2.788413698E0,-2.298933268E-2,5.587589741E-2,5.623817444E-2
2.798411458E0,-2.333521843E-2,4.790973663E-2,-1.327514648E-2
2.808431041E0,-6.835341454E-3,6.710457802E-2,-9.089946747E-2
2.818450677E0,1.919174194E-2,4.356718063E-2,-7.539176941E-2
2.828462239E0,1.694613695E-2,1.494073868E-2,-2.724075317E-2
2.838481875E0,-1.507163048E-3,1.445710659E-2,-2.702617645E-2
2.848501458E0,-3.098964691E-3,4.241585732E-3,-1.507282257E-2
2.858545573E0,6.746828556E-3,-1.412749290E-3,1.334190369E-3
